"member","variable","h","point","lo90","hi90","origin_date"
"combo_pool","cash_rate",4,3.94453212227337,2.73332339271605,5.25761025718853,2026-01-01
"combo_pool","cash_rate",5,3.86762526161299,2.46386784988484,5.55738137696485,2026-01-01
"combo_pool","cash_rate",6,3.90917167979205,2.33842346534277,5.64770699744983,2026-01-01
"combo_pool","cash_rate",7,3.73431840891299,1.92105159424323,5.58617471084452,2026-01-01
"combo_pool","cash_rate",8,3.86253048105663,2.0367858699749,5.88220822276864,2026-01-01
"combo_pool","cash_rate",9,3.86389545193509,1.56021779373461,6.08640923617562,2026-01-01
"combo_pool","cash_rate",10,3.89786045568663,1.78295572220665,6.13236958836834,2026-01-01
"combo_pool","cash_rate",11,3.9088823454995,1.76716799071899,6.1154835545634,2026-01-01
"combo_pool","cash_rate",12,3.84241722546012,1.43168347973254,6.29255105493201,2026-01-01
"combo_bma","gdp_growth",1,0.377771029816685,-0.496765309622528,1.11912784935164,2026-01-01
"combo_bma","gdp_growth",2,0.498569939934419,-0.924842245673008,1.66552981372588,2026-01-01
"combo_bma","gdp_growth",3,0.534837574726822,-0.382729598621409,1.65958331780771,2026-01-01
"combo_bma","gdp_growth",4,0.563425860744246,-0.627883407049541,1.44075943534472,2026-01-01
"combo_bma","gdp_growth",5,0.507855466561135,-0.740304734045743,1.43943134048282,2026-01-01
"combo_bma","gdp_growth",6,0.498175555626082,-0.666896986544584,1.54177502954119,2026-01-01
"combo_bma","gdp_growth",7,0.518923764152492,-0.761024314884496,1.57070857415933,2026-01-01
"combo_bma","gdp_growth",8,0.583646991573535,-0.58332335423515,1.69835814451171,2026-01-01
"combo_bma","gdp_growth",9,0.483502703762463,-0.811188722093542,1.73463408383115,2026-01-01
"combo_bma","gdp_growth",10,0.62056021809628,-0.567238150777957,2.00231915834004,2026-01-01
"combo_bma","gdp_growth",11,0.567942650951436,-0.755440629844244,2.14928448747039,2026-01-01
"combo_bma","gdp_growth",12,0.521873072565037,-0.823862243496555,2.95902075714117,2026-01-01
"combo_bma","cpi_inflation",1,0.806934878534703,0.531050388960134,1.09139316483427,2026-01-01
"combo_bma","cpi_inflation",2,0.764111699112532,0.443599438483027,1.14111643251042,2026-01-01
"combo_bma","cpi_inflation",3,0.751945793672326,0.392513989681458,1.15983069414334,2026-01-01
"combo_bma","cpi_inflation",4,0.727414166111975,0.325296925827821,1.19161797137427,2026-01-01
"combo_bma","cpi_inflation",5,0.805979996828296,0.213114348794347,1.47396898627399,2026-01-01
"combo_bma","cpi_inflation",6,0.770525751195984,0.0404621056270364,1.48830852853689,2026-01-01
"combo_bma","cpi_inflation",7,0.746399352842057,-0.00150593623926501,1.56534490944843,2026-01-01
"combo_bma","cpi_inflation",8,0.646840596771307,-0.130728531868808,1.67005857997802,2026-01-01
"combo_bma","cpi_inflation",9,0.737280824566618,-0.101475295815321,1.74080538440034,2026-01-01
"combo_bma","cpi_inflation",10,0.714094310087794,-0.122526410751864,1.72161545432005,2026-01-01
"combo_bma","cpi_inflation",11,0.687421725032883,-0.188958296895512,1.82217805869047,2026-01-01
"combo_bma","cpi_inflation",12,0.747541096246468,-0.223398439169081,1.8603849744203,2026-01-01
"combo_bma","unemp_rate",1,4.22096832018956,3.94045072933428,4.47443975510853,2026-01-01
