"run","member","window","h","crps","logdens"
"none","combo_logscore","other_origins",7,0.570860295430559,-1.39830462332821
"lp","combo_pool","other_origins",7,0.566140554872119,-1.38755424371429
"none","combo_pool","other_origins",7,0.566986893297383,-1.39106496601795
"lp","medium_conj","other_origins",7,0.514136734802428,-9.92572374581999
"none","medium_conj","other_origins",7,0.519115085795989,-9.94736148452577
"lp","medium_minn","other_origins",7,0.548294144985874,-6.58948739279513
"none","medium_minn","other_origins",7,0.548294144985874,-6.58948739279513
"lp","rw","other_origins",7,0.542315161481648,-1.41224257791355
"none","rw","other_origins",7,0.54841996356522,-1.41970621337003
"lp","small_loose_p5","other_origins",7,0.647306209879859,-10.655022269684
"none","small_loose_p5","other_origins",7,0.650047251108866,-10.6680799183642
"lp","small_minn","other_origins",7,0.536806562598462,-12.7586372081577
"none","small_minn","other_origins",7,0.542093209405927,-12.7776382169271
"lp","small_ss","other_origins",7,0.60217160596937,-11.3500339616304
"none","small_ss","other_origins",7,0.607143189204214,-11.3663773476213
"lp","small_sv","other_origins",7,0.604438921978116,-9.05392135423248
"none","small_sv","other_origins",7,0.604438921978116,-9.05392135423248
"lp","small_tight","other_origins",7,0.528135016762126,-10.6741592083906
"none","small_tight","other_origins",7,0.530296361600742,-10.6853657260158
"lp","ucmean","other_origins",7,1.0199513410818,-Inf
"none","ucmean","other_origins",7,1.02199378402045,-Inf
"lp","ucsv","other_origins",7,0.521192619610591,-Inf
"none","ucsv","other_origins",7,0.521192619610591,-Inf
"lp","ar4","covid_origins",8,0.856139384346607,-5.96155118536589
"none","ar4","covid_origins",8,0.965941353411021,-5.83754538220046
"lp","combo_bma","covid_origins",8,1.49360402823449,-3.41288928500294
"none","combo_bma","covid_origins",8,1.54512598794669,-3.63666681759697
"lp","combo_equal","covid_origins",8,0.870912188643402,-2.00018324321773
