"scheme","variable","bucket","origin","member","weight"
"equal","gdp_growth","far",61,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",61,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",61,"small_tight",0.0833333333333333
"equal","gdp_growth","far",61,"small_unres",0.0833333333333333
"equal","gdp_growth","far",61,"rw",0.0833333333333333
"equal","gdp_growth","far",61,"ar4",0.0833333333333333
"equal","gdp_growth","far",61,"ucsv",0.0833333333333333
"equal","gdp_growth","far",61,"ucmean",0.0833333333333333
"equal","gdp_growth","near",62,"small_minn",0.0833333333333333
"equal","gdp_growth","near",62,"small_ss",0.0833333333333333
"equal","gdp_growth","near",62,"small_sv",0.0833333333333333
"equal","gdp_growth","near",62,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",62,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",62,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",62,"small_tight",0.0833333333333333
"equal","gdp_growth","near",62,"small_unres",0.0833333333333333
"equal","gdp_growth","near",62,"rw",0.0833333333333333
"equal","gdp_growth","near",62,"ar4",0.0833333333333333
"equal","gdp_growth","near",62,"ucsv",0.0833333333333333
"equal","gdp_growth","near",62,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",62,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",62,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",62,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",62,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",62,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",62,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",62,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",62,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",62,"rw",0.0833333333333333
"equal","gdp_growth","medium",62,"ar4",0.0833333333333333
"equal","gdp_growth","medium",62,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",62,"ucmean",0.0833333333333333
"equal","gdp_growth","far",62,"small_minn",0.0833333333333333
"equal","gdp_growth","far",62,"small_ss",0.0833333333333333
"equal","gdp_growth","far",62,"small_sv",0.0833333333333333
"equal","gdp_growth","far",62,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",62,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",62,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",62,"small_tight",0.0833333333333333
"equal","gdp_growth","far",62,"small_unres",0.0833333333333333
"equal","gdp_growth","far",62,"rw",0.0833333333333333
"equal","gdp_growth","far",62,"ar4",0.0833333333333333
"equal","gdp_growth","far",62,"ucsv",0.0833333333333333
"equal","gdp_growth","far",62,"ucmean",0.0833333333333333
"equal","gdp_growth","near",63,"small_minn",0.0833333333333333
"equal","gdp_growth","near",63,"small_ss",0.0833333333333333
"equal","gdp_growth","near",63,"small_sv",0.0833333333333333
"equal","gdp_growth","near",63,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",63,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",63,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",63,"small_tight",0.0833333333333333
"equal","gdp_growth","near",63,"small_unres",0.0833333333333333
"equal","gdp_growth","near",63,"rw",0.0833333333333333
"equal","gdp_growth","near",63,"ar4",0.0833333333333333
"equal","gdp_growth","near",63,"ucsv",0.0833333333333333
"equal","gdp_growth","near",63,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",63,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",63,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",63,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",63,"small_loose_p5",0.0833333333333333
